Time, X1, Y1, X2, Y2
44340.000000, 76523.794438, -72593.186255, 1317470097.388446, 1024025880.036324
44400.000000, 76769.847672, -72695.551778, 1314516891.632554, 1027775193.926752
44460.000000, 77016.245784, -72797.647619, 1311552879.637673, 1031516058.567742
44520.000000, 77262.988011, -72899.472783, 1308578085.334937, 1035248442.844048
44580.000000, 77510.073588, -73001.026280, 1305592532.744943, 1038972315.706497
44640.000000, 77757.501745, -73102.307121, 1302596245.977580, 1042687646.172239
44700.000000, 78005.271711, -73203.314318, 1299589249.231852, 1046394403.325010
44760.000000, 78253.382712, -73304.046888, 1296571566.795707, 1050092556.315381
44820.000000, 78501.833971, -73404.503847, 1293543223.045858, 1053782074.361018
44880.000000, 78750.624707, -73504.684216, 1290504242.447609, 1057462926.746935
44940.000000, 78999.754138, -73604.587015, 1287454649.554674, 1061135082.825751
45000.000000, 79249.221477, -73704.211270, 1284394469.009005, 1064798512.017937
45060.000000, 79499.025937, -73803.556006, 1281323725.540609, 1068453183.812080
45120.000000, 79749.166726, -73902.620252, 1278242443.967369, 1072099067.765127
45180.000000, 79999.643051, -74001.403037, 1275150649.194867, 1075736133.502644
45240.000000, 80250.454113, -74099.903395, 1272048366.216198, 1079364350.719065
45300.000000, 80501.599114, -74198.120361, 1268935620.111795, 1082983689.177945
45360.000000, 80753.077251, -74296.052971, 1265812436.049240, 1086594118.712211
45420.000000, 81004.887719, -74393.700266, 1262678839.283087, 1090195609.224416
45480.000000, 81257.029709, -74491.061286, 1259534855.154674, 1093788130.686986
45540.000000, 81509.502412, -74588.135075, 1256380509.091940, 1097371653.142473
45600.000000, 81762.305013, -74684.920680, 1253215826.609242, 1100946146.703800
45660.000000, 82015.436697, -74781.417148, 1250040833.307164, 1104511581.554520
45720.000000, 82268.896644, -74877.623531, 1246855554.872338, 1108067927.949054
45780.000000, 82522.684032, -74973.538881, 1243660017.077247, 1111615156.212947
45840.000000, 82776.798038, -75069.162253, 1240454245.780047, 1115153236.743114
45900.000000, 83031.237833, -75164.492704, 1237238266.924370, 1118682140.008087
45960.000000, 83286.002588, -75259.529295, 1234012106.539140, 1122201836.548261
46020.000000, 83541.091470, -75354.271088, 1230775790.738380, 1125712296.976146
46080.000000, 83796.503644, -75448.717146, 1227529345.721021, 1129213491.976606
46140.000000, 84052.238272, -75542.866536, 1224272797.770713, 1132705392.307112
46200.000000, 84308.294513, -75636.718327, 1221006173.255630, 1136187968.797982
